week,term,interest
2023-03-05,pasture raised eggs,8
2023-03-05,regenerative eggs,0
2023-03-12,cage free eggs,7
2023-03-12,organic eggs,18
2023-03-12,pasture raised eggs,9
2023-03-12,regenerative eggs,0
2023-03-19,cage free eggs,7
2023-03-19,organic eggs,20
2023-03-19,pasture raised eggs,10
2023-03-19,regenerative eggs,0
2023-03-26,cage free eggs,8
2023-03-26,organic eggs,18
2023-03-26,pasture raised eggs,11
2023-03-26,regenerative eggs,0
2023-04-02,cage free eggs,9
2023-04-02,organic eggs,23
2023-04-02,pasture raised eggs,10
2023-04-02,regenerative eggs,0
2023-04-09,cage free eggs,8
2023-04-09,organic eggs,18
2023-04-09,pasture raised eggs,11
2023-04-09,regenerative eggs,0
2023-04-16,cage free eggs,6
2023-04-16,organic eggs,17
2023-04-16,pasture raised eggs,11
2023-04-16,regenerative eggs,0
2023-04-23,cage free eggs,6
2023-04-23,organic eggs,16
2023-04-23,pasture raised eggs,12
2023-04-23,regenerative eggs,0
2023-04-30,cage free eggs,6
2023-04-30,organic eggs,18
2023-04-30,pasture raised eggs,10
2023-04-30,regenerative eggs,0
2023-05-07,cage free eggs,7
2023-05-07,organic eggs,16
2023-05-07,pasture raised eggs,10
2023-05-07,regenerative eggs,0
2023-05-14,cage free eggs,7
2023-05-14,organic eggs,15
2023-05-14,pasture raised eggs,10
2023-05-14,regenerative eggs,0
2023-05-21,cage free eggs,7
2023-05-21,organic eggs,15
2023-05-21,pasture raised eggs,12
2023-05-21,regenerative eggs,0
2023-05-28,cage free eggs,5
2023-05-28,organic eggs,16
2023-05-28,pasture raised eggs,13
2023-05-28,regenerative eggs,0
2023-06-04,cage free eggs,7
2023-06-04,organic eggs,16
2023-06-04,pasture raised eggs,16
2023-06-04,regenerative eggs,0
2023-06-11,cage free eggs,8
2023-06-11,organic eggs,18
2023-06-11,pasture raised eggs,12
2023-06-11,regenerative eggs,0
2023-06-18,cage free eggs,8
2023-06-18,organic eggs,17
2023-06-18,pasture raised eggs,11
2023-06-18,regenerative eggs,0
2023-06-25,cage free eggs,7
2023-06-25,organic eggs,16
2023-06-25,pasture raised eggs,14
2023-06-25,regenerative eggs,0
2023-07-02,cage free eggs,6
2023-07-02,organic eggs,16
2023-07-02,pasture raised eggs,12
2023-07-02,regenerative eggs,0
2023-07-09,cage free eggs,5
2023-07-09,organic eggs,14
2023-07-09,pasture raised eggs,12
2023-07-09,regenerative eggs,0
2023-07-16,cage free eggs,6
2023-07-16,organic eggs,13
2023-07-16,pasture raised eggs,11
2023-07-16,regenerative eggs,0
2023-07-23,cage free eggs,7
2023-07-23,organic eggs,16
2023-07-23,pasture raised eggs,14
2023-07-23,regenerative eggs,0
2023-07-30,cage free eggs,6
2023-07-30,organic eggs,17
2023-07-30,pasture raised eggs,12
2023-07-30,regenerative eggs,0
2023-08-06,cage free eggs,6
2023-08-06,organic eggs,19
2023-08-06,pasture raised eggs,14
2023-08-06,regenerative eggs,0
2023-08-13,cage free eggs,8
2023-08-13,organic eggs,17
2023-08-13,pasture raised eggs,12
2023-08-13,regenerative eggs,0
2023-08-20,cage free eggs,5
2023-08-20,organic eggs,15
2023-08-20,pasture raised eggs,11
2023-08-20,regenerative eggs,0
2023-08-27,cage free eggs,7
2023-08-27,organic eggs,18
2023-08-27,pasture raised eggs,16
2023-08-27,regenerative eggs,0
2023-09-03,cage free eggs,6
2023-09-03,organic eggs,16
2023-09-03,pasture raised eggs,13
2023-09-03,regenerative eggs,0
2023-09-10,cage free eggs,7
2023-09-10,organic eggs,18
2023-09-10,pasture raised eggs,11
2023-09-10,regenerative eggs,0
2023-09-17,cage free eggs,6
2023-09-17,organic eggs,16
2023-09-17,pasture raised eggs,14
2023-09-17,regenerative eggs,0
2023-09-24,cage free eggs,6
2023-09-24,organic eggs,16
2023-09-24,pasture raised eggs,12
2023-09-24,regenerative eggs,0
2023-10-01,cage free eggs,7
2023-10-01,organic eggs,17
2023-10-01,pasture raised eggs,14
2023-10-01,regenerative eggs,0
2023-10-08,cage free eggs,7
2023-10-08,organic eggs,14
2023-10-08,pasture raised eggs,11
2023-10-08,regenerative eggs,0
2023-10-15,cage free eggs,7
2023-10-15,organic eggs,15
2023-10-15,pasture raised eggs,11
2023-10-15,regenerative eggs,0
2023-10-22,cage free eggs,7
2023-10-22,organic eggs,16
2023-10-22,pasture raised eggs,11
2023-10-22,regenerative eggs,0
2023-10-29,cage free eggs,6
2023-10-29,organic eggs,15
2023-10-29,pasture raised eggs,12
2023-10-29,regenerative eggs,0
2023-11-05,cage free eggs,8
2023-11-05,organic eggs,17
2023-11-05,pasture raised eggs,11
2023-11-05,regenerative eggs,0
2023-11-12,cage free eggs,6
2023-11-12,organic eggs,17
2023-11-12,pasture raised eggs,12
2023-11-12,regenerative eggs,0
2023-11-19,cage free eggs,7
2023-11-19,organic eggs,13
2023-11-19,pasture raised eggs,11
2023-11-19,regenerative eggs,0
2023-11-26,cage free eggs,7
2023-11-26,organic eggs,15
2023-11-26,pasture raised eggs,14
2023-11-26,regenerative eggs,0
2023-12-03,cage free eggs,8
2023-12-03,organic eggs,16
2023-12-03,pasture raised eggs,13
2023-12-03,regenerative eggs,0
2023-12-10,cage free eggs,8
2023-12-10,organic eggs,16
2023-12-10,pasture raised eggs,16
2023-12-10,regenerative eggs,0
2023-12-17,cage free eggs,6
2023-12-17,organic eggs,15
2023-12-17,pasture raised eggs,13
2023-12-17,regenerative eggs,0
2023-12-24,cage free eggs,9
2023-12-24,organic eggs,16
2023-12-24,pasture raised eggs,17
2023-12-24,regenerative eggs,0
2023-12-31,cage free eggs,11
2023-12-31,organic eggs,20
2023-12-31,pasture raised eggs,18
2023-12-31,regenerative eggs,0
2024-01-07,cage free eggs,13
2024-01-07,organic eggs,22
2024-01-07,pasture raised eggs,26
2024-01-07,regenerative eggs,0
2024-01-14,cage free eggs,12
2024-01-14,organic eggs,20
2024-01-14,pasture raised eggs,22
2024-01-14,regenerative eggs,0
2024-01-21,cage free eggs,10
2024-01-21,organic eggs,22
2024-01-21,pasture raised eggs,27
2024-01-21,regenerative eggs,0
2024-01-28,cage free eggs,10
2024-01-28,organic eggs,21
2024-01-28,pasture raised eggs,21
2024-01-28,regenerative eggs,0
2024-02-04,cage free eggs,11
2024-02-04,organic eggs,21
2024-02-04,pasture raised eggs,19
2024-02-04,regenerative eggs,0
2024-02-11,cage free eggs,11
2024-02-11,organic eggs,20
2024-02-11,pasture raised eggs,21
2024-02-11,regenerative eggs,0
2024-02-18,cage free eggs,12
2024-02-18,organic eggs,22
2024-02-18,pasture raised eggs,22
2024-02-18,regenerative eggs,0
2024-02-25,cage free eggs,13
2024-02-25,organic eggs,22
2024-02-25,pasture raised eggs,21
2024-02-25,regenerative eggs,0
2024-03-03,cage free eggs,10
2024-03-03,organic eggs,21
2024-03-03,pasture raised eggs,21
2024-03-03,regenerative eggs,0
2024-03-10,cage free eggs,10
2024-03-10,organic eggs,21
2024-03-10,pasture raised eggs,16
2024-03-10,regenerative eggs,0
2024-03-17,cage free eggs,8
2024-03-17,organic eggs,22
2024-03-17,pasture raised eggs,18
2024-03-17,regenerative eggs,0
2024-03-24,cage free eggs,11
2024-03-24,organic eggs,23
2024-03-24,pasture raised eggs,18
2024-03-24,regenerative eggs,0
2024-03-31,cage free eggs,9
2024-03-31,organic eggs,22
2024-03-31,pasture raised eggs,20
2024-03-31,regenerative eggs,0
2024-04-07,cage free eggs,9
2024-04-07,organic eggs,19
2024-04-07,pasture raised eggs,16
2024-04-07,regenerative eggs,0
2024-04-14,cage free eggs,7
2024-04-14,organic eggs,22
2024-04-14,pasture raised eggs,17
2024-04-14,regenerative eggs,0
2024-04-21,cage free eggs,10
2024-04-21,organic eggs,22
2024-04-21,pasture raised eggs,24
2024-04-21,regenerative eggs,1
2024-04-28,cage free eggs,9
2024-04-28,organic eggs,21
2024-04-28,pasture raised eggs,19
2024-04-28,regenerative eggs,0
2024-05-05,cage free eggs,8
2024-05-05,organic eggs,19
2024-05-05,pasture raised eggs,19
2024-05-05,regenerative eggs,0
2024-05-12,cage free eggs,9
2024-05-12,organic eggs,19
2024-05-12,pasture raised eggs,18
2024-05-12,regenerative eggs,0
2024-05-19,cage free eggs,8
2024-05-19,organic eggs,19
2024-05-19,pasture raised eggs,19
2024-05-19,regenerative eggs,0
2024-05-26,cage free eggs,7
2024-05-26,organic eggs,19
2024-05-26,pasture raised eggs,18
2024-05-26,regenerative eggs,0
2024-06-02,cage free eggs,8
2024-06-02,organic eggs,16
2024-06-02,pasture raised eggs,16
2024-06-02,regenerative eggs,0
2024-06-09,cage free eggs,8
2024-06-09,organic eggs,17
2024-06-09,pasture raised eggs,18
2024-06-09,regenerative eggs,0
2024-06-16,cage free eggs,6
2024-06-16,organic eggs,18
2024-06-16,pasture raised eggs,15
2024-06-16,regenerative eggs,0
2024-06-23,cage free eggs,8
2024-06-23,organic eggs,18
2024-06-23,pasture raised eggs,16
2024-06-23,regenerative eggs,0
2024-06-30,cage free eggs,8
2024-06-30,organic eggs,18
2024-06-30,pasture raised eggs,17
2024-06-30,regenerative eggs,0
2024-07-07,cage free eggs,8
2024-07-07,organic eggs,17
2024-07-07,pasture raised eggs,16
2024-07-07,regenerative eggs,0
2024-07-14,cage free eggs,5
2024-07-14,organic eggs,15
2024-07-14,pasture raised eggs,15
2024-07-14,regenerative eggs,0
2024-07-21,cage free eggs,7
2024-07-21,organic eggs,16
2024-07-21,pasture raised eggs,17
2024-07-21,regenerative eggs,0
2024-07-28,cage free eggs,7
2024-07-28,organic eggs,18
2024-07-28,pasture raised eggs,15
2024-07-28,regenerative eggs,0
2024-08-04,cage free eggs,7
2024-08-04,organic eggs,20
2024-08-04,pasture raised eggs,19
2024-08-04,regenerative eggs,0
2024-08-11,cage free eggs,8
2024-08-11,organic eggs,20
2024-08-11,pasture raised eggs,17
2024-08-11,regenerative eggs,0
2024-08-18,cage free eggs,8
2024-08-18,organic eggs,19
2024-08-18,pasture raised eggs,19
2024-08-18,regenerative eggs,0
2024-08-25,cage free eggs,8
2024-08-25,organic eggs,21
2024-08-25,pasture raised eggs,18
2024-08-25,regenerative eggs,0
2024-09-01,cage free eggs,8
2024-09-01,organic eggs,16
2024-09-01,pasture raised eggs,20
2024-09-01,regenerative eggs,0
2024-09-08,cage free eggs,9
2024-09-08,organic eggs,24
2024-09-08,pasture raised eggs,22
2024-09-08,regenerative eggs,0
2024-09-15,cage free eggs,9
2024-09-15,organic eggs,21
2024-09-15,pasture raised eggs,20
2024-09-15,regenerative eggs,0
2024-09-22,cage free eggs,9
2024-09-22,organic eggs,20
2024-09-22,pasture raised eggs,20
2024-09-22,regenerative eggs,0
2024-09-29,cage free eggs,9
2024-09-29,organic eggs,23
2024-09-29,pasture raised eggs,25
2024-09-29,regenerative eggs,0
2024-10-06,cage free eggs,10
2024-10-06,organic eggs,19
2024-10-06,pasture raised eggs,26
2024-10-06,regenerative eggs,0
2024-10-13,cage free eggs,10
2024-10-13,organic eggs,19
2024-10-13,pasture raised eggs,21
2024-10-13,regenerative eggs,0
2024-10-20,cage free eggs,8
2024-10-20,organic eggs,22
2024-10-20,pasture raised eggs,22
2024-10-20,regenerative eggs,0
2024-10-27,cage free eggs,8
2024-10-27,organic eggs,19
2024-10-27,pasture raised eggs,18
2024-10-27,regenerative eggs,0
2024-11-03,cage free eggs,9
2024-11-03,organic eggs,20
2024-11-03,pasture raised eggs,17
2024-11-03,regenerative eggs,0
2024-11-10,cage free eggs,10
2024-11-10,organic eggs,21
2024-11-10,pasture raised eggs,19
2024-11-10,regenerative eggs,0
2024-11-17,cage free eggs,10
2024-11-17,organic eggs,23
2024-11-17,pasture raised eggs,19
2024-11-17,regenerative eggs,0
2024-11-24,cage free eggs,11
2024-11-24,organic eggs,32
2024-11-24,pasture raised eggs,22
2024-11-24,regenerative eggs,0
2024-12-01,cage free eggs,15
2024-12-01,organic eggs,35
2024-12-01,pasture raised eggs,24
2024-12-01,regenerative eggs,0
2024-12-08,cage free eggs,13
2024-12-08,organic eggs,23
2024-12-08,pasture raised eggs,20
2024-12-08,regenerative eggs,0
2024-12-15,cage free eggs,14
2024-12-15,organic eggs,23
2024-12-15,pasture raised eggs,20
2024-12-15,regenerative eggs,0
2024-12-22,cage free eggs,23
2024-12-22,organic eggs,42
2024-12-22,pasture raised eggs,26
2024-12-22,regenerative eggs,0
2024-12-29,cage free eggs,30
2024-12-29,organic eggs,34
2024-12-29,pasture raised eggs,28
2024-12-29,regenerative eggs,0
2025-01-05,cage free eggs,27
2025-01-05,organic eggs,37
2025-01-05,pasture raised eggs,32
2025-01-05,regenerative eggs,0
2025-01-12,cage free eggs,26
2025-01-12,organic eggs,35
2025-01-12,pasture raised eggs,34
2025-01-12,regenerative eggs,0
2025-01-19,cage free eggs,21
2025-01-19,organic eggs,39
2025-01-19,pasture raised eggs,33
2025-01-19,regenerative eggs,0
2025-01-26,cage free eggs,22
2025-01-26,organic eggs,44
2025-01-26,pasture raised eggs,34
2025-01-26,regenerative eggs,0
2025-02-02,cage free eggs,23
2025-02-02,organic eggs,45
2025-02-02,pasture raised eggs,34
2025-02-02,regenerative eggs,1
2025-02-09,cage free eggs,20
2025-02-09,organic eggs,37
2025-02-09,pasture raised eggs,30
2025-02-09,regenerative eggs,2
2025-02-16,cage free eggs,22
2025-02-16,organic eggs,41
2025-02-16,pasture raised eggs,33
2025-02-16,regenerative eggs,1
2025-02-23,cage free eggs,17
2025-02-23,organic eggs,41
2025-02-23,pasture raised eggs,28
2025-02-23,regenerative eggs,0
2025-03-02,cage free eggs,15
2025-03-02,organic eggs,35
2025-03-02,pasture raised eggs,26
2025-03-02,regenerative eggs,0
2025-03-09,cage free eggs,15
2025-03-09,organic eggs,38
2025-03-09,pasture raised eggs,29
2025-03-09,regenerative eggs,0
2025-03-16,cage free eggs,15
2025-03-16,organic eggs,31
2025-03-16,pasture raised eggs,23
2025-03-16,regenerative eggs,0
2025-03-23,cage free eggs,12
2025-03-23,organic eggs,28
2025-03-23,pasture raised eggs,22
2025-03-23,regenerative eggs,1
2025-03-30,cage free eggs,12
2025-03-30,organic eggs,28
2025-03-30,pasture raised eggs,20
2025-03-30,regenerative eggs,0
2025-04-06,cage free eggs,12
2025-04-06,organic eggs,28
2025-04-06,pasture raised eggs,21
2025-04-06,regenerative eggs,0
2025-04-13,cage free eggs,11
2025-04-13,organic eggs,28
2025-04-13,pasture raised eggs,20
2025-04-13,regenerative eggs,0
2025-04-20,cage free eggs,9
2025-04-20,organic eggs,24
2025-04-20,pasture raised eggs,18
2025-04-20,regenerative eggs,0
2025-04-27,cage free eggs,12
2025-04-27,organic eggs,27
2025-04-27,pasture raised eggs,18
2025-04-27,regenerative eggs,0
2025-05-04,cage free eggs,9
2025-05-04,organic eggs,24
2025-05-04,pasture raised eggs,20
2025-05-04,regenerative eggs,0
2025-05-11,cage free eggs,9
2025-05-11,organic eggs,22
2025-05-11,pasture raised eggs,17
2025-05-11,regenerative eggs,0
2025-05-18,cage free eggs,10
2025-05-18,organic eggs,24
2025-05-18,pasture raised eggs,18
2025-05-18,regenerative eggs,0
2025-05-25,cage free eggs,9
2025-05-25,organic eggs,21
2025-05-25,pasture raised eggs,15
2025-05-25,regenerative eggs,0
2025-06-01,cage free eggs,9
2025-06-01,organic eggs,24
2025-06-01,pasture raised eggs,19
