week,price_per_dozen,source
2026-03-08,0.158,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-03-15,0.173,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-03-22,0.133,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-03-29,0.158,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-04-05,0.135,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-04-12,0.135,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-04-19,0.165,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-04-26,0.182,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-05-03,0.154,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-05-10,0.108,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-05-17,0.196,USDA AMS breaker eggs (seeded — fetcher TBD)
