week,price_per_dozen,source
2023-04-16,2.276,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-04-23,2.103,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-04-30,2.232,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-05-07,2.122,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-05-14,2.256,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-05-21,2.128,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-05-28,2.227,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-06-04,2.027,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-06-11,2.015,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-06-18,2.036,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-06-25,2.071,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-07-02,2.006,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-07-09,1.836,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-07-16,1.924,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-07-23,1.885,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-07-30,1.823,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-08-06,1.808,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-08-13,2.013,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-08-20,1.855,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-08-27,1.832,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-09-03,1.964,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-09-10,1.937,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-09-17,1.933,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-09-24,2.015,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-10-01,2.005,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-10-08,2.008,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-10-15,2.07,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-10-22,2.029,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-10-29,1.97,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-11-05,2.004,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-11-12,2.004,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-11-19,2.076,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-11-26,1.986,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-12-03,1.939,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-12-10,2.106,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-12-17,2.006,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-12-24,1.97,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-12-31,2.169,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-01-07,2.096,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-01-14,2.205,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-01-21,2.137,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-01-28,2.103,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-02-04,2.109,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-02-11,2.186,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-02-18,2.225,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-02-25,2.2,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-03-03,2.263,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-03-10,2.182,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-03-17,2.325,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-03-24,2.199,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-03-31,2.347,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-04-07,2.437,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-04-14,2.488,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-04-21,2.557,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-04-28,2.315,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-05-05,2.519,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-05-12,2.574,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-05-19,2.575,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-05-26,2.442,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-06-02,2.568,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-06-09,2.703,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-06-16,2.454,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-06-23,2.631,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-06-30,2.701,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-07-07,2.576,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-07-14,2.697,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-07-21,2.584,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-07-28,2.624,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-08-04,2.668,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-08-11,2.826,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-08-18,2.88,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-08-25,3.041,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-09-01,2.967,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-09-08,3.109,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-09-15,3.273,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-09-22,3.318,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-09-29,3.245,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-10-06,3.481,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-10-13,3.467,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-10-20,3.613,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-10-27,3.684,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-11-03,3.834,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-11-10,3.823,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-11-17,3.743,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-11-24,3.859,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-12-01,4.104,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-12-08,4.102,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-12-15,4.291,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-12-22,4.369,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2024-12-29,4.435,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-01-05,4.729,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-01-12,4.725,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-01-19,4.773,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-01-26,5.249,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-02-02,5.079,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-02-09,5.43,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-02-16,5.601,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-02-23,5.685,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-03-02,5.639,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-03-09,5.673,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-03-16,5.293,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-03-23,5.119,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-03-30,5.015,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-04-06,4.924,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-04-13,4.702,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-04-20,4.561,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-04-27,4.278,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-05-04,4.117,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-05-11,3.857,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-05-18,3.74,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-05-25,3.63,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-06-01,3.376,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-06-08,3.339,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-06-15,3.156,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-06-22,3.056,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-06-29,3.007,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-07-06,2.89,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-07-13,2.854,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-07-20,2.722,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-07-27,2.748,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-08-03,2.492,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-08-10,2.393,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-08-17,2.229,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-08-24,2.215,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-08-31,2.169,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-09-07,2.011,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-09-14,2.032,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-09-21,2.059,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-09-28,1.956,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-10-05,1.89,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-10-12,1.975,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-10-19,1.87,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-10-26,1.86,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-11-02,1.887,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-11-09,1.85,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-11-16,1.696,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-11-23,1.648,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-11-30,1.678,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-12-07,1.615,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-12-14,1.446,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-12-21,1.671,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2025-12-28,1.543,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-01-04,1.572,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-01-11,1.391,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-01-18,1.56,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-01-25,1.381,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-02-01,1.391,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-02-08,1.306,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-02-15,1.422,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-02-22,1.435,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-03-01,1.456,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-03-08,1.524,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-03-15,1.512,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-03-22,1.603,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-03-29,1.505,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-04-05,1.474,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-04-12,1.56,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-04-19,1.619,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-04-26,1.675,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-05-03,1.648,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-05-10,1.449,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2026-05-17,1.627,USDA AMS shell egg wholesale (seeded — fetcher TBD)
