week,commercial_layer_cases,source
2025-10-26,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-11-02,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-11-09,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-11-16,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-11-23,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-11-30,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-12-07,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-12-14,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-12-21,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-12-28,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-01-04,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-01-11,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-01-18,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-01-25,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-02-01,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-02-08,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-02-15,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-02-22,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-03-01,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-03-08,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-03-15,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-03-22,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-03-29,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-04-05,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-04-12,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-04-19,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-04-26,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-05-03,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-05-10,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2026-05-17,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
